algorithm,endpoint,count,avg_total_time,min_total_time,max_total_time,stdev_total_time
round_robin,/webp2png,92,2.650386797345203,0.2571899890899658,6.574917554855347,1.3130105706006592
random,/webp2png,101,2.352060886892942,0.3510453701019287,5.966980695724487,1.1760770443269257
power_of_two,/webp2png,102,2.7449022671755623,0.13623905181884766,5.653961181640625,1.208924069437686
least_connections,/webp2png,99,2.5932952298058405,0.2811133861541748,6.211767673492432,1.2428654331505526
random,/ziprar,26,5.500138301115769,0.8313329219818115,10.081768274307251,2.536922018446149
power_of_two,/ziprar,35,4.7722928319658555,0.44219112396240234,9.651365995407104,2.4558400235122564
least_connections,/ziprar,37,4.638248250291154,0.8331069946289062,9.498183965682983,2.282120354617799
round_robin,/ziprar,32,4.763141445815563,0.519273042678833,9.235787391662598,2.4878185180879018
ip_hash,/webp2png,87,2.5822971689290015,0.15944552421569824,5.400470733642578,1.0410598682045993
ip_hash,/ziprar,30,4.3242242733637495,0.3292577266693115,8.880188703536987,2.14047208294794
power_of_two,/pdf2png,19,177.64335254618996,4.243832588195801,297.75799536705017,80.065604855897
round_robin,/pdf2png,16,149.73499988019466,4.108605146408081,296.66342329978943,100.25277779950979
random,/pdf2png,15,208.65226793289185,102.05375528335571,321.64872765541077,75.16163769530559
least_connections,/pdf2png,20,193.94720425605774,101.67355537414551,321.48817205429077,59.349619212621505
ip_hash,/pdf2png,11,206.68874842470342,121.72274851799011,320.63119196891785,63.53044646906888
round_robin,/file-request,4,0.8903086185455322,0.6365184783935547,1.2092392444610596,0.23886462524571958
least_connections,/file-request,2,0.6072536706924438,0.5781798362731934,0.6363275051116943,0.041116610945893736
ip_hash,/file-request,2,0.8010973930358887,0.7918155193328857,0.8103792667388916,0.013126551675020925
random,/file-request,2,0.6675268411636353,0.5380520820617676,0.7970016002655029,0.1831049603068506
power_of_two,/file-request,3,0.6990877787272135,0.42671942710876465,0.8499085903167725,0.23633158978325228
