id,algorithm,server_name,endpoint,start_time,end_time,total_time,success,client_ip,created_at
3198,round_robin,img1,/webp2png,1775947193.0110106,1775947195.097013,2.0860023498535156,1,,1775947195.0982573
3199,random,img1,/webp2png,1775947193.2976072,1775947195.1350951,1.8374879360198975,1,,1775947195.1352239
3200,power_of_two,img1,/webp2png,1775947193.54758,1775947195.1714613,1.6238813400268555,1,,1775947195.171595
3201,least_connections,img1,/webp2png,1775947192.8666773,1775947195.1858287,2.3191514015197754,1,,1775947195.1859345
3202,least_connections,img1,/webp2png,1775947192.607861,1775947195.2154293,2.6075682640075684,1,,1775947195.215581
3203,least_connections,img1,/webp2png,1775947197.1096094,1775947201.4747033,4.365093946456909,1,,1775947201.4748297
3204,least_connections,img1,/webp2png,1775947197.7547066,1775947201.4883485,3.7336418628692627,1,,1775947201.488464
3205,least_connections,img1,/webp2png,1775947197.3316872,1775947201.4979074,4.166220188140869,1,,1775947201.4980662
3206,least_connections,img1,/webp2png,1775947196.678348,1775947201.5338469,4.855498790740967,1,,1775947201.5339699
3207,least_connections,img1,/webp2png,1775947197.502766,1775947201.577668,4.074902057647705,1,,1775947201.5778067
3208,random,rar1,/ziprar,1775947198.1116538,1775947204.8039842,6.692330360412598,1,,1775947204.805413
3209,power_of_two,rar1,/ziprar,1775947198.2653499,1775947204.9833736,6.718023777008057,1,,1775947204.983605
3210,least_connections,rar1,/ziprar,1775947198.7029128,1775947205.0323758,6.329463005065918,1,,1775947205.0325224
3211,round_robin,rar1,/ziprar,1775947198.9358132,1775947205.062049,6.126235723495483,1,,1775947205.0621862
3212,random,rar1,/ziprar,1775947198.4360638,1775947205.07952,6.643456220626831,1,,1775947205.0796516
3213,power_of_two,img1,/webp2png,1775947205.9537065,1775947208.9645522,3.01084566116333,1,,1775947208.9646842
3214,random,img1,/webp2png,1775947206.726156,1775947209.0153182,2.2891621589660645,1,,1775947209.0154636
3215,ip_hash,img1,/webp2png,1775947206.938987,1775947209.0294988,2.0905117988586426,1,,1775947209.0296187
3216,ip_hash,img1,/webp2png,1775947206.1820796,1775947209.0480363,2.8659567832946777,1,,1775947209.0481954
3217,ip_hash,img1,/webp2png,1775947206.4362454,1775947209.0730572,2.6368117332458496,1,,1775947209.0731828
3218,random,img1,/webp2png,1775947211.2848709,1775947213.6984048,2.413533926010132,1,,1775947213.6985316
3219,ip_hash,img1,/webp2png,1775947211.1691842,1775947213.7246099,2.5554256439208984,1,,1775947213.7247186
3220,random,img1,/webp2png,1775947211.5215142,1775947213.7371302,2.21561598777771,1,,1775947213.7373068
3221,least_connections,img1,/webp2png,1775947210.6698804,1775947213.7418144,3.0719339847564697,1,,1775947213.7418962
3222,round_robin,img1,/webp2png,1775947210.9452462,1775947213.7459958,2.8007495403289795,1,,1775947213.7460804
3223,least_connections,rar1,/ziprar,1775947216.866139,1775947219.4438722,2.577733278274536,1,,1775947219.443995
3224,random,img1,/webp2png,1775947217.251367,1775947221.0263772,3.775010108947754,1,,1775947221.0265505
3225,ip_hash,img1,/webp2png,1775947218.395762,1775947221.04442,2.648658037185669,1,,1775947221.0446255
3226,ip_hash,img1,/webp2png,1775947217.6525264,1775947221.0676131,3.4150867462158203,1,,1775947221.0692346
3227,round_robin,img1,/webp2png,1775947217.848277,1775947221.103948,3.2556710243225098,1,,1775947221.1040776
3228,random,img1,/webp2png,1775947218.1612384,1775947221.112376,2.9511375427246094,1,,1775947221.1124952
3229,power_of_two,rar1,/ziprar,1775947219.1506286,1775947223.9551938,4.804565191268921,1,,1775947223.9553294
3230,round_robin,rar1,/ziprar,1775947218.6000032,1775947224.0228546,5.422851324081421,1,,1775947224.0230088
3231,ip_hash,rar1,/ziprar,1775947218.8054311,1775947224.0835998,5.278168678283691,1,,1775947224.0837486
3232,random,rar1,/ziprar,1775947217.0759828,1775947224.0996258,7.0236430168151855,1,,1775947224.0997658
3233,round_robin,img1,/webp2png,1775947228.259723,1775947230.035958,1.7762351036071777,1,,1775947230.0361006
3234,power_of_two,img1,/webp2png,1775947228.15732,1775947230.12495,1.9676299095153809,1,,1775947230.1250794
3235,round_robin,img1,/webp2png,1775947227.27668,1775947230.1844006,2.9077205657958984,1,,1775947230.1847646
3236,power_of_two,img1,/webp2png,1775947227.4945161,1775947230.212259,2.717742919921875,1,,1775947230.21331
3237,round_robin,img1,/webp2png,1775947227.7374027,1775947230.2236688,2.4862661361694336,1,,1775947230.223841
3238,random,img1,/webp2png,1775947236.7708058,1775947238.86462,2.0938141345977783,1,,1775947238.8652508
3239,ip_hash,img1,/webp2png,1775947237.0405066,1775947238.9138913,1.873384714126587,1,,1775947238.9140224
3240,random,img1,/webp2png,1775947236.391031,1775947238.9209306,2.5298995971679688,1,,1775947238.9210215
3241,least_connections,img1,/webp2png,1775947236.120959,1775947238.9466224,2.8256633281707764,1,,1775947238.9467654
3242,round_robin,img1,/webp2png,1775947237.384116,1775947238.9538178,1.569701910018921,1,,1775947238.953975
3243,ip_hash,img1,/webp2png,1775947245.1635287,1775947246.6743755,1.5108468532562256,1,,1775947246.6744947
3244,round_robin,img1,/webp2png,1775947245.393169,1775947246.6899023,1.2967333793640137,1,,1775947246.6900098
3245,power_of_two,img1,/webp2png,1775947246.3508747,1775947249.1104085,2.7595338821411133,1,,1775947249.1105735
3246,power_of_two,img1,/webp2png,1775947246.0003676,1775947249.1249068,3.1245391368865967,1,,1775947249.125004
3247,ip_hash,img1,/webp2png,1775947245.6669111,1775947249.1324704,3.465559244155884,1,,1775947249.1325934
3248,round_robin,rar1,/ziprar,1775947250.048947,1775947251.5878408,1.538893699645996,1,,1775947251.587967
3249,power_of_two,img1,/webp2png,1775947253.1794689,1775947255.0314357,1.8519668579101562,1,,1775947255.031559
3250,least_connections,img1,/webp2png,1775947253.5535722,1775947255.0552943,1.5017220973968506,1,,1775947255.05541
3251,power_of_two,img1,/webp2png,1775947254.5642269,1775947256.2028675,1.6386406421661377,1,,1775947256.2078729
3252,random,rar1,/ziprar,1775947252.607609,1775947256.578537,3.9709279537200928,1,,1775947256.578668
3253,least_connections,rar1,/ziprar,1775947252.5372303,1775947256.6732757,4.136045455932617,1,,1775947256.67341
3254,power_of_two,rar1,/ziprar,1775947252.401693,1775947256.7843654,4.382672309875488,1,,1775947256.784492
3255,least_connections,rar1,/ziprar,1775947252.0170016,1775947256.8315601,4.814558506011963,1,,1775947256.8316803
3256,ip_hash,img1,/webp2png,1775947255.682045,1775947257.122957,1.4409120082855225,1,,1775947257.1231017
3257,round_robin,img1,/webp2png,1775947255.2668037,1775947257.18166,1.914856195449829,1,,1775947257.1818118
3258,round_robin,img1,/webp2png,1775947259.0329616,1775947261.051481,2.018519401550293,1,,1775947261.0560348
3259,least_connections,img1,/webp2png,1775947259.3623579,1775947261.0630918,1.7007339000701904,1,,1775947261.063286
3260,round_robin,img1,/webp2png,1775947259.7732854,1775947261.1044781,1.3311927318572998,1,,1775947261.1046722
3261,random,img1,/webp2png,1775947260.5753233,1775947261.553892,0.9785685539245605,1,,1775947261.5540242
3262,power_of_two,img1,/webp2png,1775947260.2959275,1775947261.622685,1.3267574310302734,1,,1775947261.6228292
3263,least_connections,img1,/webp2png,1775947264.2238445,1775947266.5323207,2.308476209640503,1,,1775947266.532479
3264,ip_hash,img1,/webp2png,1775947264.787575,1775947266.5659864,1.7784113883972168,1,,1775947266.5661669
3265,round_robin,img1,/webp2png,1775947263.9642198,1775947266.597468,2.6332480907440186,1,,1775947266.5976002
3266,random,img1,/webp2png,1775947264.4921749,1775947266.6097517,2.117576837539673,1,,1775947266.6098702
3267,round_robin,img1,/webp2png,1775947263.7490375,1775947266.6262715,2.8772339820861816,1,,1775947266.6264052
3268,random,rar1,/ziprar,1775947269.365623,1775947270.7746232,1.4090001583099365,1,,1775947270.7771811
3269,ip_hash,img1,/webp2png,1775947270.8038778,1775947272.699785,1.8959071636199951,1,,1775947272.6999598
3270,round_robin,img1,/webp2png,1775947270.3587062,1775947272.791759,2.4330527782440186,1,,1775947272.7923112
3271,power_of_two,img1,/webp2png,1775947270.0199554,1775947272.830395,2.8104395866394043,1,,1775947272.8352995
3272,random,img1,/webp2png,1775947271.1013427,1775947273.3985462,2.297203540802002,1,,1775947273.3986826
3273,power_of_two,img1,/webp2png,1775947271.45378,1775947273.4152043,1.9614243507385254,1,,1775947273.415325
3274,power_of_two,rar1,/ziprar,1775947273.4200234,1775947276.7231362,3.303112745285034,1,,1775947276.7233338
3275,ip_hash,rar1,/ziprar,1775947273.2354107,1775947276.7634826,3.528071880340576,1,,1775947276.763617
3276,least_connections,rar1,/ziprar,1775947273.5108266,1775947276.7869127,3.2760860919952393,1,,1775947276.787042
3277,round_robin,rar1,/ziprar,1775947274.0599735,1775947277.0124276,2.952454090118408,1,,1775947277.0125556
3278,ip_hash,img1,/webp2png,1775947277.8801618,1775947280.9754977,3.0953359603881836,1,,1775947280.9756362
3279,power_of_two,img1,/webp2png,1775947277.4966533,1775947281.0197866,3.5231332778930664,1,,1775947281.0199258
3280,random,img1,/webp2png,1775947278.2047253,1775947281.0359654,2.831240177154541,1,,1775947281.036077
3281,random,img1,/webp2png,1775947278.5026248,1775947281.06932,2.566695213317871,1,,1775947281.0694582
3282,power_of_two,img1,/webp2png,1775947277.7427936,1775947281.0833757,3.3405821323394775,1,,1775947281.0835056
3283,round_robin,img1,/webp2png,1775947284.9249754,1775947286.8514476,1.9264721870422363,1,,1775947286.8515968
3284,random,img1,/webp2png,1775947284.5747783,1775947286.9280627,2.3532843589782715,1,,1775947286.9304857
3285,random,img1,/webp2png,1775947285.0809288,1775947286.9795158,1.8985869884490967,1,,1775947286.982216
3286,round_robin,img1,/webp2png,1775947286.0183127,1775947287.2978172,1.2795045375823975,1,,1775947287.2980614
3287,power_of_two,img1,/webp2png,1775947285.7229328,1775947287.3194087,1.5964758396148682,1,,1775947287.3195527
3288,power_of_two,pdf1,/pdf2png,1775947187.7624485,1775947289.6371832,101.87473464012146,1,,1775947289.6374786
3289,round_robin,pdf1,/pdf2png,1775947188.3402107,1775947289.685449,101.34523820877075,1,,1775947289.6856332
3290,random,pdf1,/pdf2png,1775947187.6789267,1775947289.732682,102.05375528335571,1,,1775947289.7328167
3291,round_robin,pdf1,/pdf2png,1775947187.6130805,1775947289.766103,102.1530225276947,1,,1775947289.766287
3292,least_connections,pdf1,/pdf2png,1775947188.1336582,1775947289.8072135,101.67355537414551,1,,1775947289.8073444
3293,least_connections,rar1,/ziprar,1775947289.8935573,1775947291.283835,1.390277624130249,1,,1775947291.2839944
3294,ip_hash,img1,/webp2png,1775947294.6889353,1775947296.3130455,1.624110221862793,1,,1775947296.3132653
3295,round_robin,img1,/webp2png,1775947293.871561,1775947296.3505378,2.4789767265319824,1,,1775947296.35071
3296,least_connections,img1,/webp2png,1775947294.1708364,1775947296.420417,2.2495806217193604,1,,1775947296.4205782
3297,ip_hash,img1,/webp2png,1775947294.405624,1775947296.4356256,2.030001640319824,1,,1775947296.4358292
3298,ip_hash,img1,/webp2png,1775947295.015267,1775947296.4876373,1.4723703861236572,1,,1775947296.4879198
3299,power_of_two,rar1,/ziprar,1775947298.1004639,1775947303.484467,5.384003162384033,1,,1775947303.4846811
3300,least_connections,rar1,/ziprar,1775947298.8785014,1775947305.1563587,6.277857303619385,1,,1775947305.15655
3301,round_robin,rar1,/ziprar,1775947299.456575,1775947306.7135296,7.256954669952393,1,,1775947306.7137043
3302,power_of_two,rar1,/ziprar,1775947300.5259583,1775947306.838005,6.312046766281128,1,,1775947306.8381865
3303,round_robin,img1,/webp2png,1775947314.271946,1775947318.43017,4.158224105834961,1,,1775947318.432409
3304,least_connections,img1,/webp2png,1775947313.239756,1775947318.4865577,5.2468016147613525,1,,1775947318.4867523
3305,random,img1,/webp2png,1775947312.8389006,1775947318.5410106,5.702110052108765,1,,1775947318.5435245
3306,ip_hash,img1,/webp2png,1775947314.862477,1775947318.5512261,3.688749074935913,1,,1775947318.5514147
3307,round_robin,img1,/webp2png,1775947313.8006427,1775947318.5657156,4.765072822570801,1,,1775947318.5658963
3308,random,img1,/webp2png,1775947325.595568,1775947328.606417,3.0108489990234375,1,,1775947328.6065865
3309,round_robin,img1,/webp2png,1775947324.3124323,1775947328.659434,4.347001791000366,1,,1775947328.6596112
3310,power_of_two,img1,/webp2png,1775947323.9505959,1775947328.672815,4.722219228744507,1,,1775947328.672968
3311,ip_hash,img1,/webp2png,1775947325.137013,1775947328.6848705,3.5478575229644775,1,,1775947328.6850193
3312,power_of_two,img1,/webp2png,1775947324.6593769,1775947328.726969,4.067592144012451,1,,1775947328.7271686
3313,least_connections,rar1,/ziprar,1775947330.8594809,1775947334.5193326,3.6598517894744873,1,,1775947334.5195236
3314,power_of_two,img1,/webp2png,1775947334.7064097,1775947336.6582222,1.951812505722046,1,,1775947336.658359
3315,random,img1,/webp2png,1775947335.3572564,1775947339.8229337,4.465677261352539,1,,1775947339.823288
3316,least_connections,img1,/webp2png,1775947335.0824542,1775947339.8748405,4.792386293411255,1,,1775947339.8749716
3317,random,img1,/webp2png,1775947336.2540605,1775947339.902688,3.648627519607544,1,,1775947339.9028435
