algorithm,endpoint,count,avg_total_time,min_total_time,max_total_time,stdev_total_time
round_robin,/webp2png,34,2.435906368143418,1.2795045375823975,4.765072822570801,0.9188966298265829
random,/webp2png,29,2.475364981026485,0.9785685539245605,5.702110052108765,1.1103764203965427
power_of_two,/webp2png,30,2.5604483524958295,1.3267574310302734,4.722219228744507,0.9352944836519771
least_connections,/webp2png,34,2.6139455963583553,1.1687572002410889,5.2468016147613525,1.1965964971310206
random,/ziprar,6,5.197851339975993,1.4090001583099365,7.0236430168151855,2.171632567376744
power_of_two,/ziprar,8,5.502832353115082,3.303112745285034,6.718023777008057,1.2513501895075019
least_connections,/ziprar,15,4.224872954686483,1.390277624130249,6.329463005065918,1.5082295597207669
round_robin,/ziprar,10,5.185870051383972,1.538893699645996,8.218446969985962,2.3604239343925975
ip_hash,/webp2png,29,2.2728219525567415,1.2046935558319092,3.688749074935913,0.7413513997056466
ip_hash,/ziprar,6,5.325759410858154,3.1354362964630127,7.133561849594116,1.6810437477991187
power_of_two,/pdf2png,1,101.87473464012146,101.87473464012146,101.87473464012146,0.0
round_robin,/pdf2png,2,101.74913036823273,101.34523820877075,102.1530225276947,0.571189769647282
random,/pdf2png,1,102.05375528335571,102.05375528335571,102.05375528335571,0.0
least_connections,/pdf2png,1,101.67355537414551,101.67355537414551,101.67355537414551,0.0
