algorithm,endpoint,success_count,error_count,total,error_rate
ip_hash,/webp2png,29,0,29,0.0
ip_hash,/ziprar,6,0,6,0.0
least_connections,/pdf2png,1,0,1,0.0
least_connections,/webp2png,34,0,34,0.0
least_connections,/ziprar,15,0,15,0.0
power_of_two,/pdf2png,1,0,1,0.0
power_of_two,/webp2png,30,0,30,0.0
power_of_two,/ziprar,8,0,8,0.0
random,/pdf2png,1,0,1,0.0
random,/webp2png,29,0,29,0.0
random,/ziprar,6,0,6,0.0
round_robin,/pdf2png,2,0,2,0.0
round_robin,/webp2png,34,0,34,0.0
round_robin,/ziprar,10,0,10,0.0
