id,algorithm,server_name,endpoint,start_time,end_time,total_time,success,client_ip,created_at
1,round_robin,srv1,/request,1775743088.192472,1775743088.807816,0.6153440475463867,1,,1775743088.808213
2,least_connections,srv1,/file-request,1775743102.2430758,1775743102.6757126,0.43263673782348633,1,,1775743102.6758208
3,round_robin,srv1,/request,1775743276.2280438,1775743276.7422488,0.5142049789428711,1,,1775743276.7424946
4,least_connections,srv1,/file-request,1775743287.2244549,1775743287.6365974,0.4121425151824951,1,,1775743287.6367095
5,power_of_two,srv1,/request,1775744248.6854577,1775744249.1867418,0.501284122467041,1,,1775744249.186864
6,random,srv2,/request,1775744248.6856205,1775744249.2064884,0.5208678245544434,1,,1775744249.2065947
7,power_of_two,srv1,/request,1775744248.685877,1775744249.2118337,0.5259566307067871,1,,1775744249.211942
8,round_robin,srv2,/request,1775744248.686007,1775744249.2161791,0.5301721096038818,1,,1775744249.2162623
9,round_robin,srv3,/request,1775744248.6861157,1775744249.2200122,0.5338964462280273,1,,1775744249.2200825
10,power_of_two,srv2,/request,1775744248.6872091,1775744249.2264473,0.5392382144927979,1,,1775744249.2266471
11,round_robin,srv1,/request,1775744248.6873245,1775744249.232768,0.5454435348510742,1,,1775744249.2328918
12,round_robin,srv2,/request,1775744248.6874332,1775744249.2375407,0.550107479095459,1,,1775744249.2376237
13,random,srv1,/request,1775744248.6875408,1775744249.2430136,0.5554728507995605,1,,1775744249.2431347
14,ip_hash,srv3,/request,1775744248.6877391,1775744249.2487943,0.5610551834106445,1,,1775744249.2489176
15,random,srv2,/request,1775744249.309646,1775744249.8115578,0.5019118785858154,1,,1775744249.8117216
16,round_robin,srv3,/request,1775744249.31472,1775744249.8305314,0.5158114433288574,1,,1775744249.830657
17,ip_hash,srv3,/request,1775744249.3181822,1775744249.84329,0.5251078605651855,1,,1775744249.843416
18,least_connections,srv1,/request,1775744249.3210893,1775744249.8495722,0.5284829139709473,1,,1775744249.849685
19,power_of_two,srv1,/request,1775744249.329894,1775744249.856683,0.5267889499664307,1,,1775744249.8568377
20,ip_hash,srv3,/request,1775744249.336786,1775744249.8631144,0.5263283252716064,1,,1775744249.8632479
21,random,srv3,/request,1775744249.3383415,1775744249.875382,0.5370404720306396,1,,1775744249.8754957
22,round_robin,srv1,/request,1775744249.3466396,1775744249.8827102,0.5360705852508545,1,,1775744249.8828254
23,least_connections,srv2,/request,1775744249.3717952,1775744249.8896687,0.5178735256195068,1,,1775744249.889772
24,random,srv2,/request,1775744249.372901,1775744249.899752,0.5268509387969971,1,,1775744249.8998995
25,ip_hash,srv3,/request,1775744249.9325962,1775744250.4356365,0.5030403137207031,1,,1775744250.435784
26,random,srv1,/request,1775744249.9445693,1775744250.445238,0.5006687641143799,1,,1775744250.4454038
27,round_robin,srv2,/request,1775744249.951394,1775744250.4541497,0.5027556419372559,1,,1775744250.4542732
28,random,srv2,/request,1775744249.9584723,1775744250.4588737,0.500401496887207,1,,1775744250.458976
29,least_connections,srv1,/request,1775744249.9668338,1775744250.4686723,0.5018384456634521,1,,1775744250.4688098
30,power_of_two,srv2,/request,1775744249.9768686,1775744250.4777153,0.5008466243743896,1,,1775744250.4778945
31,random,srv3,/request,1775744249.9838457,1775744250.4849343,0.5010886192321777,1,,1775744250.4850857
32,ip_hash,srv3,/request,1775744249.99226,1775744250.4941275,0.5018675327301025,1,,1775744250.4942782
33,round_robin,srv3,/request,1775744250.0015402,1775744250.502041,0.5005009174346924,1,,1775744250.5021422
34,round_robin,srv1,/request,1775744250.0080285,1775744250.508804,0.5007755756378174,1,,1775744250.5089319
35,round_robin,srv2,/request,1775744250.5465631,1775744251.0471046,0.5005414485931396,1,,1775744251.0472453
36,round_robin,srv3,/request,1775744250.5518842,1775744251.0642123,0.5123281478881836,1,,1775744251.0643392
37,ip_hash,srv3,/request,1775744250.5626762,1775744251.0698187,0.5071425437927246,1,,1775744251.0699055
38,round_robin,srv1,/request,1775744250.564702,1775744251.0738404,0.5091383457183838,1,,1775744251.0739148
39,power_of_two,srv1,/request,1775744250.5776026,1775744251.078128,0.5005254745483398,1,,1775744251.078214
40,random,srv2,/request,1775744250.584951,1775744251.0867035,0.5017526149749756,1,,1775744251.0868008
41,round_robin,srv2,/request,1775744250.5910594,1775744251.0929446,0.501885175704956,1,,1775744251.0930698
42,round_robin,srv3,/request,1775744250.6029208,1775744251.1052556,0.5023348331451416,1,,1775744251.1053503
43,power_of_two,srv1,/request,1775744250.6142445,1775744251.114775,0.500530481338501,1,,1775744251.1149318
44,power_of_two,srv1,/request,1775744250.6166656,1775744251.1208944,0.5042288303375244,1,,1775744251.121041
45,power_of_two,srv2,/request,1775744251.1663055,1775744251.667479,0.5011734962463379,1,,1775744251.6676638
